,,,,,,,,,,,,Pitch,Rhythm,Stress,Emphasis,Tempo,Volume,Censorship,Spelling,Alternant,Differentiator,Alphahaptics,Alphakinesics,Formatting,Tactile_Emoticon,Bodily_Emoticon,Nonbodily_Emoticon,Tactile_Emoji,Bodily_Emoji,Nonbodily_Emoji,Emoji_Count,Emoji_Index,Emoticon_Index,TPL_Index
16,2019-12-17 23:51:28,Thanks @LinusTech for showing how not all 5G is created equal. https://t.co/GOUyePpNgL,161,0,10,13,T-Mobile,1488892,12594,0.225,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
17,2019-12-17 19:00:08,When does a burger taste the best?,157,7,94,38,T-Mobile,1488892,12594,0.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
18,2019-12-17 18:00:00,Are you ready for 5G? We are. That’s why @SamsungMobileUs and #TMobileTuesdays are giving away 5 FREE Samsung Galaxy Note10+ 5G phones 🤯🎉💯\n\nSimply RT to enter. Good luck 🤞 #contest https://t.co/KMakOBQYXp,8968,3338,6688,28357,T-Mobile,1488892,12594,0.6333333333333334,0.43333333333333335,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,2,2,4.0,4.0,0,7.0
19,2019-12-17 16:00:00,The rumors are true. The Whopper® is back 🍔\n\nGet a FREE Whopper® from @BurgerKing. Claim yours in the #TMobileTuesdays app today!\n\n📲: https://t.co/9iZtSgtbMM https://t.co/LMXu9a04Qr,316,13,65,56,T-Mobile,1488892,12594,0.4833333333333334,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,4.0,4.0,0,5.0
20,2019-12-16 01:35:16,"From coast to coast (and 5,800+ cities in between), our nationwide 5G network is here.",489,4,18,41,T-Mobile,1488892,12594,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
21,2019-12-16 01:29:29,"5,800+ cities – and we’re just getting started. Our nationwide 5G network is here. https://t.co/CQvoyhN7hC",112,5,11,5,T-Mobile,1488892,12594,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
22,2019-12-16 01:28:56,"Whether you’re in a small town or surrounded by skyscrapers, our 5G network is here in more than 5,800+ cities nationwide. https://t.co/WLPPGNT4u6",10,1,4,0,T-Mobile,1488892,12594,0.45,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
23,2019-12-14 18:00:00,How were we able to launch the first and only nationwide 5G network? \nEasy. We built the right foundation for it. See how 600 MHz made nationwide 5G a reality.,279,4,40,71,T-Mobile,1488892,12594,0.6235119047619048,0.2589285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
24,2019-12-14 00:04:11,The rumors are true. The Whopper® is back 🍔\n\nGet a FREE Whopper® from @BurgerKing. Claim yours in the #TMobileTuesdays app today!\n\n📲:  https://t.co/9iZtSgtbMM https://t.co/s5gdRPBMGG,367,34,32,59,T-Mobile,1488892,12594,0.4833333333333334,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,4.0,4.0,0,5.0
25,2019-12-13 22:00:00,Congratulations to our grand prize winners! You're headed home for the holidays. #RingInTheReunionsSweeps \n \n@Angeladowd8\n@sousou617\n@KeriTeshima\n@ginuwine5555\n@Fiqaajamal https://t.co/8PXbGYbfmx,1831,30,491,118,T-Mobile,1488892,12594,1.0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
26,2019-12-12 18:35:15,"She stares out the window.\n\n""If only I could experience free Wi-Fi.""\n\nIf only she had T-Mobile.\n\n#TMobileWingman https://t.co/eY6U6YRjAy",579,40,123,73,T-Mobile,1488892,12594,0.9333333333333332,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.0
27,2019-12-11 22:12:00,Check out the new #GalaxyNote10Plus5G on our #Nationwide5G network! Our Product guy @AskDes unboxes the Note ands takes you through some big cities and small towns where the Note10+ 5G can really shine! https://t.co/DRoid8yjdj,335,8,36,71,T-Mobile,1488892,12594,0.28863636363636364,0.04261363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
28,2019-12-11 18:00:01,The OnePlus 7T Pro 5G McLaren is here! Experience the only nationwide 5G network with our limited-edition 5G-enabled phone.,650,17,53,71,T-Mobile,1488892,12594,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
29,2019-12-10 23:05:00,"Our #Nationwide5G is even better with the new #OnePlus7TPro5GMcLaren - 90 Hz Fluid QHD+ Display, Snapdragon™ 855 Plus with 12 GB + 256 GB UFS 3.0 storage, WARP Charge 30T &amp; Triple Camera - UNBOXED! https://t.co/OiaaOAMgU3",544,4,34,74,T-Mobile,1488892,12594,0.35151515151515156,0.21212121212121213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1.0,1.0,0,2.0
30,2019-12-10 22:36:37,Looks like a lot of you love Tuesdays. Hang tight—we’re working on getting the #TMobileTuesdays app back up and running.,1167,29,435,69,T-Mobile,1488892,12594,0.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
31,2019-12-10 22:00:00,'tis the season to drink coffee. Fa-la-la-la-la-la-la 🎶\n\nGet in on today's coffee drop. We’re giving away half a million $3 @Starbucks Cards in the #TMobileTuesdays app. \n\nAct fast before they’re all gone! 😳\n\n📲: https://t.co/HWXUncRZqx https://t.co/4fKN7GCN8z,939,167,2943,161,T-Mobile,1488892,12594,0.3833333333333333,0.04166666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,3.0,3.0,0,5.0
32,2019-12-10 16:00:00,It’s beginning to look a lot like ❄️cold-hands season❄️\n\nGet FREE touch-screen gloves from #TMobileTuesdays. Check the app to get yours now!\n\n📲: https://t.co/11OOg1WRng https://t.co/jGG7Q3noVb,418,10,108,106,T-Mobile,1488892,12594,0.8,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1.0,1.0,0,2.0
33,2019-12-10 11:00:00,"Cozy up to your favorite holiday treat 😊 \n\nWhile supplies last, we're giving away half a million 🤯 $3 @Starbucks Cards to our customers. \n\nCoffee drop today at 4 p.m. ET in the #TMobileTuesdays app 💯",618,35,240,108,T-Mobile,1488892,12594,0.49583333333333335,0.03333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,3.0,3.0,0,3.0
34,2019-12-10 11:00:00,It’s beginning to look a lot like ❄️cold-hands season❄️\n\nGet FREE touch-screen gloves from #TMobileTuesdays. \nCheck the app to get yours now!,1,0,0,1,T-Mobile,1488892,12594,0.8,0.5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.0
35,2019-12-09 12:00:04,Retweet and follow us for your chance to be one of 5 grand prize winners to win a flight home this holiday season!\n\nWe will send you a reminder on 12/13 to see if you've won.  \n \n#RingInTheReunionsSweeps\n\nOfficial Rules: https://t.co/PsW1NvfPd0 https://t.co/XHILhlH5UY,9098,2113,2561,21798,T-Mobile,1488892,12594,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
36,2019-12-07 00:47:43,.@Channy3232 is flexing so hard history was made 😎 \n\nCongrats Chandra for picking up the FIRST 5G smartphone that works #Nationwide5G! https://t.co/onaaaFJAJ9,129,0,14,8,T-Mobile,1488892,12594,0.4375,0.010416666666666657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1.0,1.0,0,2.0
37,2019-12-06 20:05:46,Unboxing the new Nationwide 5G phones with @askdes! https://t.co/3PDVf6aBpK,214,4,38,53,T-Mobile,1488892,12594,0.45454545454545453,0.17045454545454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
38,2019-12-06 18:00:00,We’re making it reeeeeeeeeeeeaaaallllyyyyy hard to go off the 5G grid. The only nationwide 5G is here. https://t.co/dlxkjdknEz,283,2,47,66,T-Mobile,1488892,12594,0.7708333333333333,-0.14583333333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
39,2019-12-06 15:00:01,"Calling all of those who were first to Nationwide 5G, show us your flex! Shout out to our friends @OnePlus_USA 🤙\n\nTo Enter:\n• Include a picture of you flexing your new 5G device\n• Tag @TMobile @OnePlus_USA and a friend\n• Include #5GFlexContest\n\nRules: https://t.co/OtPilWH2pU https://t.co/GvwzSmkjw1",830,27,257,156,T-Mobile,1488892,12594,0.3939393939393939,0.22443181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1.0,1.0,0,1.0
40,2019-12-05 20:04:54,Congratulations to the winners of the T-Mobile @Changemakers Challenge! \n\n425 teams responded to our call to action to make a change in their communities and 30 teams will join us at HQ for the Changemaker Lab. \n\nTake a look at when we surprised the top 3 teams. \n\n#TMOChangemaker,174,5,6,19,T-Mobile,1488892,12594,0.5,0.2333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
